Broker: 2.2536560855972643 watts, PV: 6.227260764920404 watts, Broker/PV in kW: 0.01kW, timestamp: 1584724567129 
Broker: 69.40619314297432 watts, PV: 0.4758824019326191 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724574600 
Broker: 70.37529270407524 watts, PV: 14.492854386752345 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574699 
Broker: 70.54137916080788 watts, PV: 11.825793169407145 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574800 
Broker: 71.27303051626147 watts, PV: 11.94668462696869 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574898 
Broker: 71.39512735959653 watts, PV: 8.278349398255788 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724575003 
Broker: 72.79176238604504 watts, PV: 11.318093256696207 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724575110 
Broker: 74.5111140068944 watts, PV: 12.767778283608497 watts, Broker/PV in kW: 0.09kW, timestamp: 1584724575211 
Broker: 75.10925260966731 watts, PV: 12.183255332069338 watts, Broker/PV in kW: 0.09kW, timestamp: 1584724575311 
Broker: 76.99836016604961 watts, PV: 6.012595784029227 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724575412 
Broker: 78.09893255990146 watts, PV: 2.4850673302534743 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724575511 
Broker: 79.8852841453961 watts, PV: 1.389430192713288 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724575610 
Broker: 80.81983589096178 watts, PV: 14.964327081577187 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724575714 
Broker: 81.00236546372724 watts, PV: 19.88054350234027 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724575817 
Broker: 82.65116433531486 watts, PV: 18.88943836308533 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724575920 
Broker: 83.21770685347589 watts, PV: 1.6303517988910787 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724576026 
Broker: 85.07158212430281 watts, PV: 6.138567137680657 watts, Broker/PV in kW: 0.09kW, timestamp: 1584724576126 
Broker: 86.52374107847088 watts, PV: 1.2113388423291793 watts, Broker/PV in kW: 0.09kW, timestamp: 1584724576225 
Broker: 87.31294214593748 watts, PV: 2.1951994024336985 watts, Broker/PV in kW: 0.09kW, timestamp: 1584724576335 
Broker: 88.43712254016812 watts, PV: 12.172111350444194 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724576435 
Broker: 89.55455260676396 watts, PV: 15.117302595919412 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724576533 
Broker: 90.01209007383974 watts, PV: 6.7349363534896955 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724576640 
Broker: 90.31420207505475 watts, PV: 16.192637318205513 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724576750 
Broker: 90.94029362618055 watts, PV: 19.027474922930445 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724576848 
Broker: 92.49537086746541 watts, PV: 10.996429175437093 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724576950 
Broker: 93.35147714384071 watts, PV: 4.847624909623205 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577050 
Broker: 93.88022754223486 watts, PV: 6.674687635474932 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577151 
Broker: 94.47295219882109 watts, PV: 2.031501395532591 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577257 
Broker: 95.29630367244094 watts, PV: 2.3644097258821573 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577360 
Broker: 96.11511778100761 watts, PV: 16.27788502811168 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724577460 
Broker: 97.05916153046756 watts, PV: 11.481336028609878 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724577558 
Broker: 98.44273807354355 watts, PV: 0.559254340110571 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577666 
Broker: 98.76601599466171 watts, PV: 5.959264874454875 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577766 
Broker: 99.00807463548664 watts, PV: 5.510268340873452 watts, Broker/PV in kW: 0.1kW, timestamp: 1584724577868 
Broker: 100.18700840633984 watts, PV: 11.129311367253623 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724577966 
Broker: 100.34581964429077 watts, PV: 7.331270176653728 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724578076 
Broker: 102.2206380711348 watts, PV: 19.960103452856647 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724578175 
Broker: 103.77858528653812 watts, PV: 2.6153242944535426 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724578276 
Broker: 105.43085345405522 watts, PV: 8.852612220978674 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724578382 
Broker: 105.6383274609549 watts, PV: 11.513437661007488 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724578485 
Broker: 106.86527603979606 watts, PV: 13.446987402289974 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724578582 
Broker: 107.082812873262 watts, PV: 9.703176649761085 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724578681 
Broker: 107.79157596268732 watts, PV: 18.977434958992816 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724578797 
Broker: 109.63863751949542 watts, PV: 2.206145701029909 watts, Broker/PV in kW: 0.11kW, timestamp: 1584724578896 
Broker: 110.10195886032776 watts, PV: 12.594276218469611 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724578995 
Broker: 111.75245153256026 watts, PV: 4.969540858495813 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724579093 
Broker: 112.63473822356508 watts, PV: 10.494230026231 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724579196 
Broker: 112.77088302810412 watts, PV: 10.785587315955008 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724579296 
Broker: 114.30087599812018 watts, PV: 14.986523869978502 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724579397 
Broker: 114.58023913995821 watts, PV: 15.443513248490905 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724579506 
Broker: 114.93879965547441 watts, PV: 16.725544151009444 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724579610 
Broker: 116.34906908970657 watts, PV: 18.813411923649504 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724579707 
Broker: 117.2996251004617 watts, PV: 13.035193681721577 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724579817 
Broker: 118.89000362959746 watts, PV: 11.75155103661842 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724579917 
Broker: 118.91694747833111 watts, PV: 2.6684691254491844 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724580014 
Broker: 119.15918691622188 watts, PV: 1.6128459657128902 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724580115 
Broker: 119.79341647773907 watts, PV: 8.45678809985937 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724580224 
Broker: 120.20447374766687 watts, PV: 0.6946469761496221 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724580319 
Broker: 121.51426573177835 watts, PV: 15.5551353446275 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724580430 
Broker: 121.94999538907614 watts, PV: 19.582367440191174 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724580530 
Broker: 123.11464869538528 watts, PV: 10.022026877436856 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724580630 
Broker: 123.42226624583533 watts, PV: 9.67892647766238 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724580736 
Broker: 124.159672481083 watts, PV: 0.08429045554454007 watts, Broker/PV in kW: 0.12kW, timestamp: 1584724580837 
Broker: 125.64097111083181 watts, PV: 1.9059571863394753 watts, Broker/PV in kW: 0.13kW, timestamp: 1584724580945 
Broker: 126.44871383000674 watts, PV: 10.7745732423542 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724581045 
Broker: 127.61241496012549 watts, PV: 13.682597267180295 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724581143 
Broker: 129.0529877695134 watts, PV: 10.552095489991489 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724581247 
Broker: 129.9105725452512 watts, PV: 16.11854529368696 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724581354 
Broker: 130.0059311196257 watts, PV: 18.3210078231888 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724581455 
Broker: 130.64833643939372 watts, PV: 19.894792683923498 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724581569 
Broker: 132.28487340962184 watts, PV: 14.046095981582818 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724581670 
Broker: 134.0021781986782 watts, PV: 17.08133600453142 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724581767 
Broker: 134.81772837956274 watts, PV: 14.463076147314844 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724581865 
Broker: 135.90448180071186 watts, PV: 0.9690748144845029 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724581972 
Broker: 135.95134271029139 watts, PV: 14.587061553659986 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724582072 
Broker: 136.12410906140434 watts, PV: 13.096585436257389 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724582178 
Broker: 136.7185343521858 watts, PV: 19.938523491237753 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724582277 
Broker: 137.04205225902254 watts, PV: 7.178609403439902 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724582384 
Broker: 138.84598123366098 watts, PV: 4.228033002379248 watts, Broker/PV in kW: 0.14kW, timestamp: 1584724582482 
Broker: 140.28022049461308 watts, PV: 13.064817886562459 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724582587 
Broker: 141.17900945570634 watts, PV: 4.2605034231464245 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724582685 
Broker: 143.1452353770702 watts, PV: 15.739434592129658 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724582786 
Broker: 143.61865688016 watts, PV: 15.347621995506735 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724582892 
Broker: 143.67641658265876 watts, PV: 10.173796557231384 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724582994 
Broker: 145.52630033945314 watts, PV: 11.17642590094476 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724583101 
Broker: 146.40647369015804 watts, PV: 7.166202874419496 watts, Broker/PV in kW: 0.15kW, timestamp: 1584724583201 
Broker: 146.72968791306116 watts, PV: 16.318790953005117 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724583310 
Broker: 147.5078537847326 watts, PV: 15.342944406178791 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724583409 
Broker: 148.3210299722588 watts, PV: 18.799180725018964 watts, Broker/PV in kW: 0.17kW, timestamp: 1584724583519 
Broker: 149.62998317927082 watts, PV: 18.08854061449788 watts, Broker/PV in kW: 0.17kW, timestamp: 1584724583610 
Broker: 151.3543555840355 watts, PV: 3.8785437359407426 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724583717 
Broker: 153.26826872949627 watts, PV: 9.590803803257536 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724583820 
Broker: 153.62260642650736 watts, PV: 9.742086453658318 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724583927 
Broker: 154.69188760363588 watts, PV: 7.793713563134026 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724584020 
Broker: 156.66239077902654 watts, PV: 2.043702652169803 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724584126 
Broker: 156.8836073167531 watts, PV: 3.2707794030719928 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724584229 
Broker: 158.65955727475017 watts, PV: 2.0238045796209336 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724584335 
Broker: 160.0643808879422 watts, PV: 15.75522178378479 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724584440 
Broker: 161.12231346588732 watts, PV: 2.9843997069838712 watts, Broker/PV in kW: 0.16kW, timestamp: 1584724584542 
Broker: 162.8361660948529 watts, PV: 11.241565649319384 watts, Broker/PV in kW: 0.17kW, timestamp: 1584724584644 
Broker: 163.4452199615597 watts, PV: 14.878583174628911 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724584745 
Broker: 164.08142677450368 watts, PV: 9.83782362640178 watts, Broker/PV in kW: 0.17kW, timestamp: 1584724584846 
Broker: 164.99617959459138 watts, PV: 7.514349554615496 watts, Broker/PV in kW: 0.17kW, timestamp: 1584724584951 
Broker: 166.74420071645062 watts, PV: 5.726726842650796 watts, Broker/PV in kW: 0.17kW, timestamp: 1584724585055 
Broker: 168.38328755469638 watts, PV: 11.51783401204344 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724585147 
Broker: 168.56774893405768 watts, PV: 8.763574753425548 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724585262 
Broker: 169.7014160075525 watts, PV: 15.085990748791552 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724585357 
Broker: 171.5649128848319 watts, PV: 9.469146207033269 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724585464 
Broker: 172.73279101612005 watts, PV: 16.841860858205138 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724585562 
Broker: 173.50895700128495 watts, PV: 10.324154296010942 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724585663 
Broker: 174.63459510457574 watts, PV: 8.163860401042342 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724585766 
Broker: 175.35942637234047 watts, PV: 14.706927094620239 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724585870 
Broker: 177.067200555397 watts, PV: 18.173304171027187 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724585974 
Broker: 178.1942185508469 watts, PV: 19.225401009462352 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724586076 
Broker: 178.4241349666926 watts, PV: 13.903419221649798 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586182 
Broker: 178.9849256944534 watts, PV: 11.215977151435128 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586277 
Broker: 179.53196284580233 watts, PV: 11.49288815903681 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586380 
Broker: 181.09277812614351 watts, PV: 1.8831396528464417 watts, Broker/PV in kW: 0.18kW, timestamp: 1584724586480 
Broker: 182.16471879497485 watts, PV: 11.955766845845366 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586581 
Broker: 183.04608296001336 watts, PV: 2.6504722330477293 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586683 
Broker: 183.19679759466044 watts, PV: 6.108128725856878 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586785 
Broker: 183.8905079939971 watts, PV: 10.383497489855195 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586889 
Broker: 184.168402111005 watts, PV: 8.03262632422312 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724586988 
Broker: 185.48855602133509 watts, PV: 16.03347822103771 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724587092 
Broker: 185.62941505285798 watts, PV: 0.6636658644551829 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724587194 
Broker: 187.18631209490565 watts, PV: 6.0831011142469515 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724587306 
Broker: 188.21853229583374 watts, PV: 14.719600619669873 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724587394 
Broker: 188.3858507202665 watts, PV: 1.3842818145462576 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724587505 
Broker: 189.64484868245054 watts, PV: 6.0908982172209525 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724587600 
Broker: 191.31501645782495 watts, PV: 16.544877435400615 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724587709 
Broker: 192.73242105127164 watts, PV: 1.514600639480208 watts, Broker/PV in kW: 0.19kW, timestamp: 1584724587806 
Broker: 193.79245887936193 watts, PV: 15.509326515088496 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724587906 
Broker: 195.439870434518 watts, PV: 11.705172659861391 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588012 
Broker: 196.1014438462963 watts, PV: 2.634321329514062 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724588113 
Broker: 196.1610798448118 watts, PV: 10.86860954258528 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588211 
Broker: 196.5295725637387 watts, PV: 15.444725594405382 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588319 
Broker: 198.52512625831218 watts, PV: 11.118528256122637 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588417 
Broker: 200.21854596114753 watts, PV: 2.6319704420214896 watts, Broker/PV in kW: 0.2kW, timestamp: 1584724588521 
Broker: 202.0766293978571 watts, PV: 5.983280869807772 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588624 
Broker: 203.41889634382278 watts, PV: 5.665767543389939 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588725 
Broker: 205.00816849782194 watts, PV: 4.59465800654725 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588862 
Broker: 206.60772987256013 watts, PV: 3.5425051960370446 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724588927 
Broker: 208.2919515726549 watts, PV: 12.299488885080061 watts, Broker/PV in kW: 0.22kW, timestamp: 1584724589031 
Broker: 208.49898091654688 watts, PV: 3.3104934767983174 watts, Broker/PV in kW: 0.21kW, timestamp: 1584724589144 
Broker: 210.4005946870765 watts, PV: 7.971019309118228 watts, Broker/PV in kW: 0.22kW, timestamp: 1584724589248 
Broker: 212.197956313455 watts, PV: 16.30719092572656 watts, Broker/PV in kW: 0.23kW, timestamp: 1584724589340 
Broker: 213.36253320197312 watts, PV: 16.055201247726956 watts, Broker/PV in kW: 0.23kW, timestamp: 1584724589444 
Broker: 214.40018282584322 watts, PV: 4.670613174764235 watts, Broker/PV in kW: 0.22kW, timestamp: 1584724589548 
Broker: 215.89798667638436 watts, PV: 14.209020767934968 watts, Broker/PV in kW: 0.23kW, timestamp: 1584724589653 
Broker: 216.1795692995343 watts, PV: 19.069596475444968 watts, Broker/PV in kW: 0.24kW, timestamp: 1584724589757 
Broker: 217.9282182451297 watts, PV: 13.611652700268365 watts, Broker/PV in kW: 0.23kW, timestamp: 1584724589859 
Broker: 219.67725935934212 watts, PV: 3.3982668940264116 watts, Broker/PV in kW: 0.22kW, timestamp: 1584724589955 
Broker: 220.48784185551708 watts, PV: 3.3946077359327065 watts, Broker/PV in kW: 0.22kW, timestamp: 1584724590056 
Broker: 220.51364702655948 watts, PV: 13.809086538881106 watts, Broker/PV in kW: 0.23kW, timestamp: 1584724590157 
Broker: 222.18260609392627 watts, PV: 14.251275489522124 watts, Broker/PV in kW: 0.24kW, timestamp: 1584724590271 
